id,Response_X,Response_Y
264,121.750677,24.746561
265,121.744783,24.748025
266,121.783557,24.744748
267,121.765038,24.728443
268,121.699454,24.779917
269,121.727824,24.746231
270,121.808136,24.845486
271,121.825255,24.857263
272,121.822878,24.856819
273,121.822883,24.854035
274,121.770822,24.820283
275,121.761943,24.788439
276,121.769948,24.822646
277,121.770137,24.823072
278,121.768754,24.819303
279,121.775283,24.675106
280,121.766985,24.675175
281,121.764035,24.674294
282,121.765331,24.674747
283,121.763369,24.674318
284,121.770896,24.670671
285,121.771188,24.670085
286,121.769786,24.672944
287,121.772082,24.677798
288,121.767174,24.678524
289,121.770834,24.678225
290,121.770408,24.678576
291,121.769337,24.678853
292,121.768161,24.67893
293,121.765487,24.679613
294,121.764906,24.679974
295,121.76259,24.680126
296,121.759771,24.680405
297,121.770282,24.681073
298,121.767456,24.67761
299,121.766053,24.677805
300,121.770033,24.675781
301,121.777576,24.681189
302,121.76844,24.673014
303,121.770617,24.680476
304,121.759456,24.675087
305,121.762497,24.672712
306,121.761621,24.67201
307,121.767794,24.671899
308,121.768097,24.670998
309,121.771144,24.669027
310,121.769694,24.669906
311,121.76921,24.68001
312,121.769415,24.680598
313,121.769662,24.682086
314,121.769934,24.682904
315,121.770143,24.683542
316,121.848142,24.59579
317,121.852919,24.596639
318,121.866959,24.580595
319,121.833896,24.618015
320,121.850772,24.59615
321,121.758176,24.759792
