id,Response_X,Response_Y
1,121.752319,24.745546
2,121.766951,24.677529
3,121.841658,24.593975
4,121.820549,24.856759
5,121.769905,24.820865
6,121.786319,24.74675
7,121.724365,24.744299
8,121.791571,24.636123
9,121.79895,24.6848
10,121.651549,24.666119
11,121.608845,24.677855
12,121.803525,24.46583
13,121.757691,24.75037
14,121.839576,24.596219
15,121.724147,24.743443
16,121.892568,24.939978
17,121.755905,24.755273
18,121.752185,24.75409
19,121.753657,24.750102
20,121.753392,24.758837
21,121.750926,24.750884
22,121.752516,24.753799
23,121.752228,24.754001
24,121.756024,24.754908
25,121.75214,24.75603
26,121.756118,24.751425
27,121.756479,24.75481
28,121.753273,24.751029
29,121.747129,24.751816
30,121.752964,24.759559
31,121.75505,24.749919
32,121.752554,24.756795
33,121.75556,24.75567
34,121.754207,24.756157
35,121.756353,24.752253
36,121.753684,24.750633
37,121.75114,24.752232
38,121.753591,24.761606
39,121.753029,24.758869
40,121.754687,24.755737
41,121.752344,24.756053
42,121.749862,24.759297
43,121.755476,24.745158
44,121.754526,24.751102
45,121.761123,24.751051
46,121.753364,24.750827
47,121.753847,24.758755
48,121.753742,24.756787
49,121.752984,24.759694
50,121.753589,24.763043
51,121.751182,24.757959
52,121.753542,24.76148
53,121.75331,24.760847
54,121.754398,24.749923
55,121.755953,24.754894
56,121.755336,24.750203
57,121.750054,24.749236
58,121.753089,24.759083
59,121.75399,24.749842
60,121.755735,24.750537
61,121.754883,24.749872
62,121.756486,24.755152
63,121.752353,24.756084
64,121.752321,24.753657
65,121.755821,24.755308
66,121.756844,24.761387
67,121.747955,24.755028
68,121.742014,24.745766
69,121.753055,24.759977
70,121.749969,24.748899
71,121.77208,24.675511
72,121.767748,24.675132
73,121.769876,24.679193
74,121.769962,24.673467
75,121.766532,24.676997
76,121.770357,24.676123
77,121.769938,24.6787
78,121.771329,24.675379
79,121.771344,24.678307
80,121.769139,24.677445
81,121.770199,24.678618
82,121.770065,24.675872
83,121.771287,24.678322
84,121.770431,24.677615
85,121.770206,24.674949
86,121.770299,24.677329
87,121.767519,24.672355
88,121.770716,24.680449
89,121.767929,24.679235
90,121.765224,24.677627
91,121.770167,24.672489
92,121.768207,24.678926
93,121.767604,24.675685
94,121.77399,24.672298
95,121.770111,24.677544
96,121.772573,24.677074
97,121.769854,24.680691
98,121.767235,24.672344
99,121.765897,24.679767
100,121.76984,24.679083
101,121.758907,24.67329
102,121.769284,24.680269
103,121.768295,24.678901
104,121.771434,24.669634
105,121.766951,24.673271
106,121.769134,24.675193
107,121.77178,24.676721
108,121.771265,24.678079
109,121.767866,24.67924
110,121.770714,24.671434
111,121.76243,24.672399
112,121.771938,24.676143
113,121.770029,24.673251
114,121.76841,24.674287
115,121.769284,24.680269
116,121.770757,24.68044
117,121.770693,24.671145
118,121.767253,24.672315
119,121.765183,24.688802
120,121.777364,24.681059
121,121.768791,24.673138
122,121.759478,24.671959
123,121.777457,24.669733
124,121.773552,24.672825
125,121.76153,24.672205
126,121.77189,24.678495
127,121.76718,24.674988
128,121.768817,24.679647
129,121.762604,24.672707
130,121.771036,24.674424
131,121.770286,24.683984
132,121.772987,24.674479
133,121.763784,24.679748
134,121.768059,24.676121
135,121.767479,24.674324
136,121.849256,24.59626
137,121.837839,24.59574
138,121.849662,24.596082
139,121.847339,24.595982
140,121.864744,24.582448
141,121.834217,24.620271
142,121.867354,24.581298
143,121.86523,24.583103
144,121.839664,24.617605
145,121.847873,24.595775
146,121.830285,24.643949
147,121.821452,24.854067
148,121.824033,24.860152
149,121.823851,24.857506
150,121.822624,24.855874
151,121.820812,24.857137
152,121.824033,24.860152
153,121.82139,24.853962
154,121.771735,24.824155
155,121.76994,24.819195
156,121.771281,24.826053
157,121.770802,24.820188
158,121.769659,24.818508
159,121.815636,24.762473
160,121.816799,24.801535
161,121.786286,24.747207
162,121.727697,24.746158
163,121.723827,24.744536
164,121.767766,24.667618
165,121.794291,24.631391
166,121.763933,24.654698
167,121.77078,24.667176
