"site_id","village","summ","sum14belo","sum15to64","sum65abov","EDR","AgedR","AgIndex","vill_area","PopuDens","PopuDens65"
"宜蘭縣宜蘭市","大新里",890,93,602,195,0.323920265780731,0.219101123595506,2.09677419354839,0.144532843460317,6157.76994828418,1349.1743145117
"宜蘭縣宜蘭市","新東里",3929,636,2898,395,0.136300897170462,0.100534487146857,0.621069182389937,0.45357285096197,8662.33503982237,870.863410722789
"宜蘭縣宜蘭市","泰山里",2600,456,1848,296,0.16017316017316,0.113846153846154,0.649122807017544,1.29037203880303,2014.92276786452,229.391207418423
"宜蘭縣宜蘭市","七結里",3144,497,2327,320,0.137516115169746,0.101781170483461,0.643863179074447,0.188161198157764,16709.0772740717,1700.66944265361
"宜蘭縣宜蘭市","擺厘里",3456,436,2582,438,0.169635941130906,0.126736111111111,1.0045871559633,0.206687287707958,16720.9122453782,2119.14339220939
"宜蘭縣宜蘭市","中興里",3470,470,2566,434,0.169134840218238,0.12507204610951,0.923404255319149,0.159013539282228,21822.0411649426,2729.32733878533
"宜蘭縣宜蘭市","成功里",3856,683,2808,365,0.129985754985755,0.0946576763485477,0.534407027818448,0.65166086779339,5917.18820412975,560.107285919958
"宜蘭縣宜蘭市","神農里",3093,362,2218,513,0.231289449954914,0.165858389912706,1.4171270718232,0.313570362654254,9863.81485105587,1635.99644959316
"宜蘭縣宜蘭市","民權里",2077,248,1499,330,0.220146764509673,0.158883004333173,1.33064516129032,0.166443852979462,12478.6825275926,1982.65057010378
"宜蘭縣宜蘭市","進士里",2428,252,1780,396,0.22247191011236,0.163097199341021,1.57142857142857,1.20742552341915,2010.89007388585,327.970539233442
"宜蘭縣宜蘭市","南橋里",1464,227,1034,203,0.196324951644101,0.138661202185792,0.894273127753304,1.72768501378181,847.376685172131,117.498269870179
"宜蘭縣宜蘭市","建業里",2071,346,1466,259,0.176671214188267,0.125060357315307,0.748554913294798,1.86263852104252,1111.86361529818,139.050061015079
"宜蘭縣宜蘭市","南津里",2527,433,1633,461,0.282302510716473,0.182429758607044,1.06466512702079,1.68422262726745,1500.3954697485,273.716783361322
"宜蘭縣宜蘭市","凱旋里",1524,196,1139,189,0.165935030728709,0.124015748031496,0.964285714285714,1.80972859101798,842.115225213271,104.435549583536
"宜蘭縣宜蘭市","黎明里",2300,387,1631,282,0.172900061312078,0.122608695652174,0.728682170542636,2.22537102218188,1033.53552152618,126.720442204514
"宜蘭縣宜蘭市","東村里",2725,453,2024,248,0.122529644268775,0.0910091743119266,0.547461368653422,0.784546848991518,3473.34260981712,316.106043021889
"宜蘭縣宜蘭市","延平里",4028,716,2953,359,0.121571283440569,0.0891261171797418,0.501396648044693,1.26754550906157,3177.79517279985,283.224544944177
"宜蘭縣宜蘭市","七張里",1762,275,1228,259,0.210912052117264,0.146992054483541,0.941818181818182,1.27966436156895,1376.92355348529,202.396821993581
"宜蘭縣宜蘭市","慈安里",2085,223,1628,234,0.143734643734644,0.112230215827338,1.04932735426009,0.185877162373417,11217.0853771231,1258.89591282821
"宜蘭縣宜蘭市","新民里",1760,173,1174,413,0.351788756388416,0.234659090909091,2.38728323699422,0.100823637270872,17456.2240327791,4096.26166223737
"宜蘭縣宜蘭市","東門里",1156,130,756,270,0.357142857142857,0.23356401384083,2.07692307692308,0.0831852103895291,13896.7010432123,3245.76927479871
"宜蘭縣宜蘭市","小東里",1741,184,1211,346,0.285714285714286,0.198736358414704,1.8804347826087,0.129961389666679,13396.2864237237,2662.32918013119
"宜蘭縣宜蘭市","菜園里",1466,123,1091,252,0.230980751604033,0.171896316507503,2.04878048780488,0.119711820303892,12246.0755861745,2105.05528493586
"宜蘭縣宜蘭市","孝廉里",1354,136,961,257,0.267429760665973,0.189807976366322,1.88970588235294,0.152224168178542,8894.77680319403,1688.29958524436
"宜蘭縣宜蘭市","新生里",3043,376,2258,409,0.181133746678477,0.134406835359842,1.08776595744681,1.73026522991893,1758.68990914334,236.379945067245
"宜蘭縣宜蘭市","茭白里",2423,318,1866,239,0.128081457663451,0.0986380520016508,0.751572327044025,1.19161536621004,2033.37424869436,200.568074881532
"宜蘭縣宜蘭市","北津里",2580,290,1990,300,0.150753768844221,0.116279069767442,1.03448275862069,0.596564454320382,4324.76320255988,502.879442158125
"宜蘭縣宜蘭市","梅洲里",3689,448,2765,476,0.172151898734177,0.129032258064516,1.0625,3.01665682938953,1222.87691594888,157.790569799856
"宜蘭縣宜蘭市","北門里",1313,126,968,219,0.226239669421488,0.166793602437167,1.73809523809524,0.17794006710449,7378.88897855131,1230.75147471648
"宜蘭縣宜蘭市","中山里",1064,86,741,237,0.319838056680162,0.222744360902256,2.75581395348837,0.0719075085294724,14796.7857843928,3295.90059295215
"宜蘭縣宜蘭市","西門里",2020,244,1391,385,0.276779295470884,0.190594059405941,1.57786885245902,0.198568036957738,10172.8356232374,1938.88203710218
"宜蘭縣宜蘭市","南門里",1750,280,1169,301,0.25748502994012,0.172,1.075,0.234881246172301,7450.57354947895,1281.49865051038
"宜蘭縣宜蘭市","負郭里",3871,716,2658,497,0.186982693754703,0.128390596745027,0.69413407821229,0.24020527268676,16115.3831333585,2069.06365726664
"宜蘭縣宜蘭市","民族里",2872,462,1849,561,0.303407247160627,0.19533426183844,1.21428571428571,0.144914561233807,19818.5743071483,3871.24658297709
"宜蘭縣宜蘭市","建軍里",2013,308,1472,233,0.158288043478261,0.115747640337804,0.756493506493506,0.179579917275568,11209.4939709267,1297.47247651561
