"TownName","VillagName","vill_area","popN","popDens","ClinND","ClinND_villarea","ClinND_popN","ClinND200","ClinND200_villarea","ClinND200_popN","ClinND100","ClinND100_villarea","ClinND100_popN"
"宜蘭市","大新里",0.144532843460317,890,6157.76994828418,0,0,0,4,27.6753705540862,0.00449438202247191,1,6.91884263852154,0.00112359550561798
"宜蘭市","新東里",0.45357285096197,3929,8662.33503982237,0,0,0,2,4.40943499100146,0.000509035377958768,1,2.20471749550073,0.000254517688979384
"宜蘭市","泰山里",1.29037203880303,2600,2014.92276786452,0,0,0,1,0.774970295332512,0.000384615384615385,1,0.774970295332512,0.000384615384615385
"宜蘭市","七結里",0.188161198157764,3144,16709.0772740717,1,5.31459200829253,0.000318066157760814,3,15.9437760248776,0.000954198473282443,1,5.31459200829253,0.000318066157760814
"宜蘭市","擺厘里",0.206687287707958,3456,16720.9122453782,2,9.67645384570497,0.000578703703703704,6,29.0293615371149,0.00173611111111111,2,9.67645384570497,0.000578703703703704
"宜蘭市","中興里",0.159013539282228,3470,21822.0411649426,0,0,0,2,12.5775453400246,0.000576368876080692,1,6.28877267001228,0.000288184438040346
"宜蘭市","成功里",0.65166086779339,3856,5917.18820412975,1,1.53454050936975,0.000259336099585062,2,3.06908101873949,0.000518672199170124,1,1.53454050936975,0.000259336099585062
"宜蘭市","神農里",0.313570362654254,3093,9863.81485105587,2,6.37815379958348,0.000646621403168445,8,25.5126151983339,0.00258648561267378,3,9.56723069937522,0.000969932104752667
"宜蘭市","民權里",0.166443852979462,2077,12478.6825275926,3,18.0240960918525,0.00144439094848339,10,60.0803203061751,0.00481463649494463,7,42.0562242143226,0.00337024554646124
"宜蘭市","進士里",1.20742552341915,2428,2010.89007388585,0,0,0,3,2.48462529722305,0.00123558484349259,1,0.828208432407683,0.000411861614497529
"宜蘭市","南橋里",1.72768501378181,1464,847.376685172131,0,0,0,0,0,0,0,0,0
"宜蘭市","建業里",1.86263852104252,2071,1111.86361529818,1,0.536872822452045,0.000482858522452921,1,0.536872822452045,0.000482858522452921,1,0.536872822452045,0.000482858522452921
"宜蘭市","南津里",1.68422262726745,2527,1500.3954697485,1,0.593745733972497,0.000395726157499011,1,0.593745733972497,0.000395726157499011,1,0.593745733972497,0.000395726157499011
"宜蘭市","凱旋里",1.80972859101798,1524,842.115225213271,0,0,0,1,0.552569045415532,0.000656167979002625,0,0,0
"宜蘭市","黎明里",2.22537102218188,2300,1033.53552152618,0,0,0,2,0.898726540457549,0.000869565217391304,1,0.449363270228774,0.000434782608695652
"宜蘭市","東村里",0.784546848991518,2725,3473.34260981712,0,0,0,0,0,0,0,0,0
"宜蘭市","延平里",1.26754550906157,4028,3177.79517279985,1,0.788926309036708,0.000248262164846077,2,1.57785261807342,0.000496524329692155,2,1.57785261807342,0.000496524329692155
"宜蘭市","七張里",1.27966436156895,1762,1376.92355348529,0,0,0,0,0,0,0,0,0
"宜蘭市","慈安里",0.185877162373417,2085,11217.0853771231,1,5.37989706336841,0.000479616306954436,2,10.7597941267368,0.000959232613908873,1,5.37989706336841,0.000479616306954436
"宜蘭市","新民里",0.100823637270872,1760,17456.2240327791,3,29.7549273286008,0.00170454545454545,6,59.5098546572015,0.00340909090909091,5,49.5915455476679,0.00284090909090909
"宜蘭市","東門里",0.0831852103895291,1156,13896.7010432123,1,12.0213676844397,0.000865051903114187,7,84.1495737910777,0.00605536332179931,3,36.064103053319,0.00259515570934256
"宜蘭市","小東里",0.129961389666679,1741,13396.2864237237,1,7.69459300615952,0.000574382538770821,2,15.389186012319,0.00114876507754164,1,7.69459300615952,0.000574382538770821
"宜蘭市","菜園里",0.119711820303892,1466,12246.0755861745,0,0,0,3,25.0601819635222,0.00204638472032742,1,8.35339398784072,0.000682128240109141
"宜蘭市","孝廉里",0.152224168178542,1354,8894.77680319403,0,0,0,2,13.1385181731079,0.00147710487444609,2,13.1385181731079,0.00147710487444609
"宜蘭市","新生里",1.73026522991893,3043,1758.68990914334,0,0,0,0,0,0,0,0,0
"宜蘭市","茭白里",1.19161536621004,2423,2033.37424869436,0,0,0,0,0,0,0,0,0
"宜蘭市","北津里",0.596564454320382,2580,4324.76320255988,0,0,0,0,0,0,0,0,0
"宜蘭市","梅洲里",3.01665682938953,3689,1222.87691594888,0,0,0,0,0,0,0,0,0
"宜蘭市","北門里",0.17794006710449,1313,7378.88897855131,0,0,0,2,11.2397394951276,0.00152322924600152,0,0,0
"宜蘭市","中山里",0.0719075085294724,1064,14796.7857843928,1,13.9067535567601,0.00093984962406015,4,55.6270142270405,0.0037593984962406,3,41.7202606702804,0.00281954887218045
"宜蘭市","西門里",0.198568036957738,2020,10172.8356232374,0,0,0,2,10.0721144784529,0.00099009900990099,2,10.0721144784529,0.00099009900990099
"宜蘭市","南門里",0.234881246172301,1750,7450.57354947895,2,8.51494119940452,0.00114285714285714,4,17.029882398809,0.00228571428571429,4,17.029882398809,0.00228571428571429
"宜蘭市","負郭里",0.24020527268676,3871,16115.3831333585,0,0,0,2,8.32621190046941,0.00051666236114699,2,8.32621190046941,0.00051666236114699
"宜蘭市","民族里",0.144914561233807,2872,19818.5743071483,3,20.7018533849042,0.00104456824512535,8,55.2049423597446,0.00278551532033426,6,41.4037067698085,0.0020891364902507
"宜蘭市","建軍里",0.179579917275568,2013,11209.4939709267,2,11.1371028027091,0.000993541977148535,3,16.7056542040637,0.0014903129657228,2,11.1371028027091,0.000993541977148535
