"TownName","VillagName","vill_area","popN","popDens","ClinNW","ClinNW_villarea","ClinNW_popN","ClinNW200","ClinNW200_villarea","ClinNW200_popN","ClinNW100","ClinNW100_villarea","ClinNW100_popN"
"宜蘭市","大新里",0.144532843460317,890,6157.76994828418,4,27.6753705540862,0.00449438202247191,15,103.782639577823,0.0168539325842697,10,69.1884263852154,0.0112359550561798
"宜蘭市","新東里",0.45357285096197,3929,8662.33503982237,1,2.20471749550073,0.000254517688979384,11,24.251892450508,0.00279969457877322,6,13.2283049730044,0.0015271061338763
"宜蘭市","泰山里",1.29037203880303,2600,2014.92276786452,0,0,0,0,0,0,0,0,0
"宜蘭市","七結里",0.188161198157764,3144,16709.0772740717,0,0,0,0,0,0,0,0,0
"宜蘭市","擺厘里",0.206687287707958,3456,16720.9122453782,0,0,0,2,9.67645384570497,0.000578703703703704,2,9.67645384570497,0.000578703703703704
"宜蘭市","中興里",0.159013539282228,3470,21822.0411649426,0,0,0,0,0,0,0,0,0
"宜蘭市","成功里",0.65166086779339,3856,5917.18820412975,1,1.53454050936975,0.000259336099585062,1,1.53454050936975,0.000259336099585062,1,1.53454050936975,0.000259336099585062
"宜蘭市","神農里",0.313570362654254,3093,9863.81485105587,15,47.8361534968761,0.00484966052376334,30,95.6723069937522,0.00969932104752667,25,79.7269224947935,0.00808276753960556
"宜蘭市","民權里",0.166443852979462,2077,12478.6825275926,5,30.0401601530876,0.00240731824747232,19,114.152608581733,0.0091478093403948,12,72.0963843674102,0.00577756379393356
"宜蘭市","進士里",1.20742552341915,2428,2010.89007388585,0,0,0,1,0.828208432407683,0.000411861614497529,1,0.828208432407683,0.000411861614497529
"宜蘭市","南橋里",1.72768501378181,1464,847.376685172131,0,0,0,0,0,0,0,0,0
"宜蘭市","建業里",1.86263852104252,2071,1111.86361529818,0,0,0,1,0.536872822452045,0.000482858522452921,0,0,0
"宜蘭市","南津里",1.68422262726745,2527,1500.3954697485,0,0,0,0,0,0,0,0,0
"宜蘭市","凱旋里",1.80972859101798,1524,842.115225213271,0,0,0,0,0,0,0,0,0
"宜蘭市","黎明里",2.22537102218188,2300,1033.53552152618,0,0,0,0,0,0,0,0,0
"宜蘭市","東村里",0.784546848991518,2725,3473.34260981712,1,1.27462114121729,0.00036697247706422,7,8.92234798852105,0.00256880733944954,3,3.82386342365188,0.00110091743119266
"宜蘭市","延平里",1.26754550906157,4028,3177.79517279985,0,0,0,1,0.788926309036708,0.000248262164846077,0,0,0
"宜蘭市","七張里",1.27966436156895,1762,1376.92355348529,0,0,0,0,0,0,0,0,0
"宜蘭市","慈安里",0.185877162373417,2085,11217.0853771231,0,0,0,0,0,0,0,0,0
"宜蘭市","新民里",0.100823637270872,1760,17456.2240327791,7,69.4281637667351,0.00397727272727273,24,238.039418628806,0.0136363636363636,18,178.529563971605,0.0102272727272727
"宜蘭市","東門里",0.0831852103895291,1156,13896.7010432123,5,60.1068384221983,0.00432525951557093,20,240.427353688793,0.0173010380622837,10,120.213676844397,0.00865051903114187
"宜蘭市","小東里",0.129961389666679,1741,13396.2864237237,0,0,0,1,7.69459300615952,0.000574382538770821,0,0,0
"宜蘭市","菜園里",0.119711820303892,1466,12246.0755861745,0,0,0,9,75.1805458905665,0.00613915416098226,0,0,0
"宜蘭市","孝廉里",0.152224168178542,1354,8894.77680319403,0,0,0,11,72.2618499520932,0.00812407680945347,6,39.4155545193235,0.00443131462333826
"宜蘭市","新生里",1.73026522991893,3043,1758.68990914334,1,0.577946075959033,0.000328623069339468,2,1.15589215191807,0.000657246138678935,1,0.577946075959033,0.000328623069339468
"宜蘭市","茭白里",1.19161536621004,2423,2033.37424869436,0,0,0,2,1.67839393206303,0.000825423029302518,1,0.839196966031517,0.000412711514651259
"宜蘭市","北津里",0.596564454320382,2580,4324.76320255988,0,0,0,0,0,0,0,0,0
"宜蘭市","梅洲里",3.01665682938953,3689,1222.87691594888,0,0,0,0,0,0,0,0,0
"宜蘭市","北門里",0.17794006710449,1313,7378.88897855131,3,16.8596092426915,0.00228484386900229,6,33.7192184853829,0.00456968773800457,4,22.4794789902553,0.00304645849200305
"宜蘭市","中山里",0.0719075085294724,1064,14796.7857843928,3,41.7202606702804,0.00281954887218045,15,208.601303351402,0.0140977443609023,10,139.067535567601,0.0093984962406015
"宜蘭市","西門里",0.198568036957738,2020,10172.8356232374,2,10.0721144784529,0.00099009900990099,12,60.4326868707173,0.00594059405940594,6,30.2163434353586,0.00297029702970297
"宜蘭市","南門里",0.234881246172301,1750,7450.57354947895,3,12.7724117991068,0.00171428571428571,17,72.3770001949384,0.00971428571428571,9,38.3172353973203,0.00514285714285714
"宜蘭市","負郭里",0.24020527268676,3871,16115.3831333585,0,0,0,2,8.32621190046941,0.00051666236114699,1,4.1631059502347,0.000258331180573495
"宜蘭市","民族里",0.144914561233807,2872,19818.5743071483,1,6.90061779496808,0.000348189415041783,8,55.2049423597446,0.00278551532033426,3,20.7018533849042,0.00104456824512535
"宜蘭市","建軍里",0.179579917275568,2013,11209.4939709267,0,0,0,0,0,0,0,0,0
"宜蘭市","思源里",0.407492167079639,5332,13084.9140934725,1,2.4540349012514,0.00018754688672168,1,2.4540349012514,0.00018754688672168,1,2.4540349012514,0.00018754688672168
"宜蘭市","文化里",0.246423305337722,3894,15802.0768151912,2,8.11611546748393,0.000513610683102209,4,16.2322309349679,0.00102722136620442,4,16.2322309349679,0.00102722136620442
