"X","TownID","TownCode","TownName","VillagCode","VillagEng","VillagName","summ","sum65abov","Center_X","Center_Y","inTwoKM_HOM","inTwoKM_INT","inTwoKM_GRP","inThrKM_HOM","inThrKM_INT","inThrKM_GRP","inFivKM_HOM","inFivKM_INT","inFivKM_GRP","inTenKM_HOM","inTenKM_INT","inTenKM_GRP","labpt_X","labpt_Y"
24,"G01",1000201,"宜蘭市",210,"Xiaolian Vil.","孝廉里",1354,257,121.75576915,24.76337635,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.75576914829,24.7633763487539
25,"G01",1000201,"宜蘭市",211,"Xinsheng Vil.","新生里",3043,409,121.76325936,24.77058223,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.763259356358,24.7705822350032
26,"G01",1000201,"宜蘭市",212,"Jiaobai Vil.","茭白里",2423,239,121.75286833,24.7764177,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.752868328467,24.7764177013321
27,"G01",1000201,"宜蘭市",213,"Beijin Vil.","北津里",2580,300,121.75043954,24.76854399,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.750439537902,24.7685439900005
28,"G01",1000201,"宜蘭市",214,"Meizhou Vil.","梅洲里",3689,476,121.73956423,24.77017019,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.739564225123,24.7701701889558
29,"G01",1000201,"宜蘭市",215,"Beimen Vil.","北門里",1313,219,121.75242302,24.7635269,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.752423022228,24.7635268977683
30,"G01",1000201,"宜蘭市",216,"Zhongshan Vil.","中山里",1064,237,121.75160652,24.75919555,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.751606518154,24.7591955513549
31,"G01",1000201,"宜蘭市",217,"Ximen Vil.","西門里",2020,385,121.74848285,24.76010319,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.748482848467,24.7601031885842
32,"G01",1000201,"宜蘭市",218,"Nanmen Vil.","南門里",1750,301,121.7495246,24.75628863,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.749524594345,24.7562886249252
33,"G01",1000201,"宜蘭市",219,"Fuguo Vil.","負郭里",3871,497,121.74463675,24.75479174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.744636751262,24.7547917383524
